Load,Temperature
2.6844108333,72.0000000000
2.2444983334,72.0000000000
1.9678225000,72.0000000000
3.2962941666,72.0000000000
3.3019475000,72.0000000000
2.3182741667,72.0000000000
2.9851174999,72.0000000000
2.1327966667,72.0000000000
3.2756708334,72.0000000000
2.8747766666,72.0000000000
2.5247908333,72.0000000000
2.1661008333,72.0000000000
2.2483766666,72.0000000000
2.5776958333,72.0000000000
2.8673758333,72.0000000000
3.9668700000,72.0000000000
3.2959125000,72.0000000000
3.9885983333,72.0000000000
3.4599750000,72.66666666666666666666666667
2.3161816667,73.0000000000
1.9982850000,73.0000000000
1.6120425000,73.0000000000
1.7674566667,76.4000000000
2.5855291667,78.1000000000
2.1526600000,78.1000000000
2.0493841667,78.1000000000
2.7901424999,80.03333333333333333333333333
2.8066675000,81.0000000000
2.9377800000,81.0000000000
3.0581541666,81.0000000000
2.1363950001,82.26666666666666666666666667
0.0046833334,82.9000000000
0.0046499999,82.9000000000
1.0717225000,82.9000000000
1.9796975000,82.9000000000
1.4521324999,82.9000000000
3.2093833333,82.9000000000
2.2030058333,82.9000000000
1.8984933334,84.96666666666666666666666667
2.0013250000,86.0000000000
1.9730316666,86.0000000000
1.8831658333,86.0000000000
2.8580991667,87.33333333333333333333333333
2.0846825000,88.0000000000
1.8443441666,88.0000000000
3.0388033334,88.0000000000
2.9537091666,88.73333333333333333333333333
2.0893958333,89.1000000000
